kkno,dilimno,uzunluk,tasit,hiz,baslangic,bitis,baglanti
400-19,4,12,15.182,89,Göztepe,Misis,
400-19,5,19,21.498,94,Misis,İmamoğlu k.,
400-20,1,6,15.259,93,İmamoğlu k.,Ceyhan k.,
400-20,2,22,14.287,95,Ceyhan k.,Osmaniye s.,
400-21,1,3,6.735,,Osmaniye s.,Hatay k1.,
400-21,2,3,6.288,88,Hatay k1.,Hatay k2.,
400-21,3,16,17.886,,Hatay k2.,Osmaniye,
400-21,4,27,9.098,89,Osmaniye,Arıklıkaş,
400-21,5,6,7.185,86,Arıklıkaş,Bahçe,
400-21,6,10,5.642,72,Bahçe,Gaziantep s.,
400-22,1,9,3.800,70,Gaziantep s.,Nurdağı,
400-22,2,17,6.385,83,Nurdağı,Sakçagöz,
400-22,3,37,8.541,77,Sakçagöz,K.maraş k.,
400-22,4,10,48.389,,K.maraş k.,Karpuzkaya,
400-22,5,6,67.275,,Karpuzkaya,Gaziantep,850-14
400-23,1,5,23.004,,Gaziantep,Gaziantep doğu,
400-23,2,34,17.757,93,Gaziantep doğu,Nizip,
400-23,3,14,9.871,,Nizip,Şanlıurfa s.,
400-24,1,2,14.550,,Şanlıurfa s.,Birecik,
400-24,2,4,13.688,87,Birecik,Halfeti k.,
400-24,3,39,6.593,78,Halfeti k.,Suruç k.,
400-25,1,24,8.678,82,Suruç k.,Ş.urfa batı,
400-25,2,16,7.988,85,Ş.urfa batı,Şanlıurfa,
400-26,1,15,16.131,95,Şanlıurfa,Akçalı,
400-26,2,5,15.527,95,Akçalı,Otoyol k.,
400-26,3,46,14.198,98,Otoyol k.,Siverek k.,
400-27,1,22,12.155,106,Siverek k.,Viranşehir,
400-27,2,23,11.598,91,Viranşehir,Mardin s.,
400-28,1,21,9.608,92,Mardin s.,Derik s.,
400-28,2,31,9.449,89,Derik s.,Kızıltepe,950-11
400-29,1,25,11.445,89,Kızıltepe,Mardin k.,
400-29,2,18,9.236,89,Mardin k.,Akarsu k.,
400-30,1,11,9.815,100,Akarsu k.,Nusaybin,
400-30,2,7,9.597,,Nusaybin,Nusaybin S.K.,
400-30,3,38,7.824,90,Nusaybin S.K.,Şırnak s.,
400-31,1,36,6.482,110,Şırnak s.,Dicle k.,
400-31,2,17,9.312,85,Dicle k.,İdil k.,
400-31,3,3,11.650,71,İdil k.,Cizre,
400-32,1,31,5.715,81,Cizre,Siirt k.,
400-32,2,8,7.469,64,Siirt k.,Şırnak,
400-32,3,42,2.552,,Şırnak,Uludere k.,
400-33,1,14,1.953,,Uludere k.,Ortabağ k.,
400-33,2,44,1.207,,Ortabağ k.,Hakkari s.,
400-34,1,30,554,,Hakkari s.,Çukurca k.,
400-34,2,22,781,,Çukurca k.,Ayvalık k.,
400-35,0,31,1.165,,Ayvalık k.,Hakkari,
400-36,1,7,3.628,68,Hakkari,Çukurca k. 2,
400-36,2,36,1.426,,Çukurca k. 2,Van k.,
400-36,3,32,2.136,,Van k.,Akçalı 2,
400-36,4,2,3.864,78,Akçalı 2,Yüksekova,
400-37,0,41,1.578,98,Yüksekova,Esendere,
